emissions,fips,county,period,p5,p17,p50,p83,p95
8.5,53003,Asotin,2040-2059,25.8,32,41.4,48.7,53.5
8.5,53003,Asotin,2080-2099,43.9,55.8,65.3,84,93.9
8.5,53005,Benton,1981-2010,,,13.47,,
8.5,53005,Benton,2020-2039,13.3,17.2,23.7,29.2,31.1
8.5,53005,Benton,2040-2059,18.9,27.1,34.2,45.6,51.1
8.5,53005,Benton,2080-2099,34.9,50.2,64,83.3,93.3
8.5,53007,Chelan,1981-2010,,,2.07,,
8.5,53007,Chelan,2020-2039,4.2,5.4,7.6,9.8,11.8
8.5,53007,Chelan,2040-2059,6.6,8.2,14.2,20,22.9
8.5,53007,Chelan,2080-2099,15.1,21.4,32.5,54,65.9
8.5,53009,Clallam,1981-2010,,,0.03,,
8.5,53009,Clallam,2020-2039,0.2,0.3,0.7,1.2,1.8
8.5,53009,Clallam,2040-2059,0.3,0.5,1.1,2,2.9
8.5,53009,Clallam,2080-2099,2.2,2.4,6.1,11.2,18
8.5,53011,Clark,1981-2010,,,2.73,,
8.5,53011,Clark,2020-2039,2.8,4.2,5.2,6.6,8.6
8.5,53011,Clark,2040-2059,5.3,7.2,9.6,14.4,16.4
8.5,53011,Clark,2080-2099,9.6,14.9,22,40.4,49.7
8.5,53013,Columbia,1981-2010,,,17.17,,
8.5,53013,Columbia,2020-2039,17.6,22.8,29.6,33.2,36.2
8.5,53013,Columbia,2040-2059,23.1,27.5,39,47.9,51.2
8.5,53013,Columbia,2080-2099,39.9,53.1,66,84.2,93.5
8.5,53015,Cowlitz,1981-2010,,,1.93,,
8.5,53015,Cowlitz,2020-2039,2,3.2,3.8,4.6,5.8
8.5,53015,Cowlitz,2040-2059,3.6,5.1,6.7,9.8,11.7
8.5,53015,Cowlitz,2080-2099,6.5,10.9,16.6,33.8,43.9
8.5,53017,Douglas,1981-2010,,,20.5,,
8.5,53017,Douglas,2020-2039,24.1,27.9,34.5,39,42.1
8.5,53017,Douglas,2040-2059,28.1,35.2,43.9,52.8,56.1
8.5,53017,Douglas,2080-2099,44.5,55,70,89.2,97.8
8.5,53019,Ferry,1981-2010,,,2.8,,
8.5,53019,Ferry,2020-2039,4,5.6,7.2,9.8,11.4
8.5,53019,Ferry,2040-2059,6.5,8.3,15.3,21,23.6
8.5,53019,Ferry,2080-2099,16.6,21.6,34.7,58.5,65.8
8.5,53021,Franklin,1981-2010,,,11.7,,
8.5,53021,Franklin,2020-2039,13.8,17.5,24.6,29.6,31.6
8.5,53021,Franklin,2040-2059,19.9,27.4,35.9,46.2,52.8
8.5,53021,Franklin,2080-2099,36.9,52.9,65.8,84.3,95.2
8.5,53023,Garfield,1981-2010,,,4.73,,
8.5,53023,Garfield,2020-2039,5.3,8.1,11.2,14.4,16.6
8.5,53023,Garfield,2040-2059,9.4,11.5,19.4,27,29.6
8.5,53023,Garfield,2080-2099,21.4,30.6,39.9,62.1,71.8
8.5,53025,Grant,1981-2010,,,14.93,,
8.5,53025,Grant,2020-2039,15.2,18.6,24.5,28.9,31.6
8.5,53025,Grant,2040-2059,18.4,25.2,34.7,42.6,46.6
8.5,53025,Grant,2080-2099,34.7,46.2,60.5,81,90.7
8.5,53027,Grays Harbor,1981-2010,,,0.23,,
8.5,53027,Grays Harbor,2020-2039,0.2,0.5,0.7,0.8,0.9
8.5,53027,Grays Harbor,2040-2059,0.5,0.8,1.2,1.9,2
8.5,53027,Grays Harbor,2080-2099,1.2,1.9,3,5.7,7.8
8.5,53029,Island,1981-2010,,,0,,
8.5,53029,Island,2020-2039,0,0.1,0.2,0.3,0.6
8.5,53029,Island,2040-2059,0.1,0.1,0.3,0.7,0.8
8.5,53029,Island,2080-2099,1,1.2,3,7.3,13.2
8.5,53031,Jefferson,1981-2010,,,0.03,,
8.5,53031,Jefferson,2020-2039,0.2,0.3,0.7,1.2,1.8
8.5,53031,Jefferson,2040-2059,0.3,0.5,1.1,2,2.9
8.5,53031,Jefferson,2080-2099,2.2,2.4,6.1,11.2,18
8.5,53033,King,1981-2010,,,0.37,,
8.5,53033,King,2020-2039,0.6,0.9,1.4,1.9,2.8
8.5,53033,King,2040-2059,1.1,1.9,3.6,5.8,6.5
8.5,53033,King,2080-2099,4.6,5.8,12.8,25.9,38.9
8.5,53035,Kitsap,1981-2010,,,0.5,,
8.5,53035,Kitsap,2020-2039,0.7,0.9,1.4,1.9,2.6
8.5,53035,Kitsap,2040-2059,0.9,1.5,3.2,4.5,5.5
8.5,53035,Kitsap,2080-2099,3.6,5.2,11.3,21.2,33.9
8.5,53037,Kittitas,1981-2010,,,6.23,,
8.5,53037,Kittitas,2020-2039,7.2,9.7,13.8,17.9,20.4
8.5,53037,Kittitas,2040-2059,10.9,15.4,22.1,30.9,35.6
8.5,53037,Kittitas,2080-2099,22.8,33,43,64.8,76.7
8.5,53039,Klickitat,1981-2010,,,5.77,,
8.5,53039,Klickitat,2020-2039,7.3,10.8,13.2,18.1,19
8.5,53039,Klickitat,2040-2059,11.3,16.9,20.7,29.6,34
8.5,53039,Klickitat,2080-2099,22.8,32.1,38.6,59.9,71.9
8.5,53041,Lewis,1981-2010,,,4.73,,
8.5,53041,Lewis,2020-2039,5.6,8,9.3,11.8,14.1
8.5,53041,Lewis,2040-2059,8.1,11.5,15.8,22.1,24.2
8.5,53041,Lewis,2080-2099,15.8,22.8,31.9,49.5,60.7
8.5,53043,Lincoln,1981-2010,,,3.67,,
8.5,53043,Lincoln,2020-2039,5,7.4,10.8,13.7,16.2
